File,Satisfiable,Time (s)
91e0db01b254eb78f6643328045bfeb9-sted5_0x1e3-20.out,UNKNOWN,3581.72
c214f1eb2576af00e3fb09f7d0305764-64_150.sanitized.out,SATISFIABLE,225.81
fa5c6d6736a42650656c5bc018413254-bphp_p23_h22.sanitized.out,UNKNOWN,3587.14
8942dca5dc0876fc3f723f738d72de1c-circuit_32in32out_with_64gates_8in6out_dist128_seed2.sanitized.out,SATISFIABLE,2841.03
576ebc1333f2c466c2dec98792721e1f-j3037_9_rggt_b.out,SATISFIABLE,68.94
792495b57d6145fd21d7076eab2ab06a-grs-64-64.out,UNSATISFIABLE,379.02
6a674acad2aeac729ecb39ad9e4a2298-1-ZC-1024-K-116.sanitized.out,UNKNOWN,3582.36
2b60f9be1439f63b7f174c6b8ca7fedf-sgen1-unsat-121-100.out,UNKNOWN,3584.46
4be4ae25aae88528bc10f8369bba86df-ER_400_20_4.apx_1_DC-AD.out,UNSATISFIABLE,497.53
c69c5163c9087ffe770743bd4cdafcc9-tseitin_d3_n162.sanitized.out,UNKNOWN,3582.98
ecca77b5350eca6a4323edd5b38208c6-004.out,SATISFIABLE,250.69
ff9e9b01d50d01ecb6740472d7dd36cd-1-ZC-512-K-61.sanitized.out,SATISFIABLE,699.7
07c50b89d97a55b6e1629999a445a2ba-ctl_4201_555_unsat_pre.out,UNSATISFIABLE,1784.42
9dcbf221b8d2bb01f30bcca283f3608d-EDP3-11000.out,SATISFIABLE,134.22
1e0da402100982e53001a64281149dd9-linked_list_swap_contents_safety_unwind63.out,UNSATISFIABLE,78.5
210fe1c0ffefde5bcd03d59b1efa6984-32_325.sanitized.out,SATISFIABLE,260.58
462d72f9b78ab1cd080667ff12a114ac-lec_mult_CvK_12x12.sanitized.out,UNKNOWN,3584.48
1156429862d3c03160406d6d1a786f11-rphp_p8_r170.sanitized.out,UNKNOWN,3584.7
26b648475cfd06695a17ac95f4469744-128_75.sanitized.out,SATISFIABLE,262.61
d02fae1e84cfbe799c792ba237f08f66-exam_flat_0.04_2018_3.out,SATISFIABLE,2921.64
d195412a62cdcbb851136f60af76f463-x9-09098.sat.sanitized.out,UNSATISFIABLE,74.01
0876c518e5653369e20fb1ee0bb8db40-mp1-klieber2017s-0500-023-t12.out,SATISFIABLE,103.79
9cd3acdb765c15163bc239ae3a57f880-FmlaEquivChain_4_6_6.sanitized.out,UNSATISFIABLE,54.99
5865fb9a6575d2ae6542c36ab96646a9-x9-11088.sat.sanitized.out,SATISFIABLE,481.74
2b8a711debc3a6edd01e7b4e305342d9-REGRandom-K4-L2-Seed35.sanitized.out,UNSATISFIABLE,3458.62
7b9d8b9b31b530effd634f5a8f1f4411-stb_531_83.apx_2_DC-ST.out,UNSATISFIABLE,317.61
ab3438b504b296fcee78ec9e71969863-mdp-36-14-sat.out,UNKNOWN,3582.9
b4b41b2ff14427e5715cb9bee06d4602-constraints_17_0.3_2.sanitized.out,UNSATISFIABLE,82.33
46d75199933980fdb856f13e5b1817dd-1-TC-256-K-64.sanitized.out,UNSATISFIABLE,1083.47
ee57608ea4b74f25aebca809d59711c9-oisc-subrv-sll-nested-13.out,UNSATISFIABLE,3038.98
70ef2b6bdc4101a0e35cf3d165571fe3-qwh.50.1250.shuffled-as.sat03-1655.out,SATISFIABLE,17.77
7e1d279559b202016e5797901e731a39-simon-r25-0.sanitized.out,SATISFIABLE,0.01
ef330d1b144055436a2d576601191ea5-crn_11_99_u.out,UNSATISFIABLE,1.83
a58b8a5eb61d3110d9fa36a03de588d2-stb_495_168.apx_1_DC-AD.out,UNSATISFIABLE,228.88
aa39c6d885d283a085d033ab7b89f8c8-urq45.out,UNSATISFIABLE,285.7
e85e793a66a2c9d390f40acf29a5346b-1-ET-512-K-110.sanitized.out,UNKNOWN,3585.01
c6e03256680b96b52e3345a497333c2b-hwb-n24-02-S786928571.shuffled-as.sat03-1618.out,UNSATISFIABLE,316.22
bd19da88800086971e554e9d66bc641d-stb_588_138.apx_1_DC-ST.out,UNSATISFIABLE,279.4
396fd56f3fd7b85afbba4254ea6e746c-circuit_32in32out_with_80gates_7in7out_dist128_seed1.sanitized.out,SATISFIABLE,125.77
5a068ba62fe30e435a76e2ec80896ef4-ITC2021_Middle_1.xml.out,UNKNOWN,3579.96
ef16970ab9da31165d3c401ff9b29168-Folkman-185-152478531.sanitized.out,SATISFIABLE,164.74
e84b00b1f134e0e071a2baf54cfc90e8-ER_400_20_4.apx_2_DC-ST.out,UNSATISFIABLE,400.86
bd8bc25be2b36c64b38459c17e815814-pcmax-scheduling-m11-1517-6802-UNSAT.sanitized.out,UNSATISFIABLE,83.74
8b31606e10656ff7eb2936262b647443-stable-300-0.1-20-98765432130020.out,SATISFIABLE,91.32
0e5ffe8651c6d9c3cccc3f6cb72be39a-g2-test_v5_r10_vr10_c1_s21502.smt2-cvc4.out,UNSATISFIABLE,448.52
3c6e1d1c4b8d3d08aa4c1df3805f4f7d-x9-10031.sat.sanitized.out,UNSATISFIABLE,398.98
c801a020a6c8bc3c287fea495203b114-worker_20_40_20_0.95.out,SATISFIABLE,0.1
fb0e505b8bd19a34f1f80b8e020e7856-constraints_17_0.4_2.sanitized.out,UNSATISFIABLE,102.32
c73edc350cfa8e07af58db50054aea45-noL-11-12.sanitized.out,SATISFIABLE,228.39
7083b70c1976162e2693d7a493717ffd-battleship-14-26-sat.out,SATISFIABLE,63.38
0ac5ff376b826f68d384ba05a1d00de0-sokoban-p20.sas.cr.33.out,UNKNOWN,3582.67
79b9e24dd9af185dbec18c9b0a32b1e2-g2-slp-synthesis-aes-top30.out,SATISFIABLE,41.07
d1940d3d830eb16a7d2270ca4af4acba-mdp-28-11-sat.out,SATISFIABLE,224.0
37ca184832fc6fa43a22ae900f1756a2-circuit_32in32out_with_350gates_6in6out_dist64_seed1.sanitized.out,SATISFIABLE,91.1
1548977b4e27032fe07cda357782cd6a-mdp-28-14-unsat.out,UNSATISFIABLE,1869.57
1a20d903db74ab566efc68a35e6b0ec5-hwmcc20miters-iso-rast-p11.sanitized.out,UNSATISFIABLE,0.36
573cc82ec61e01fd6e6308493ee56289-linked_list_swap_contents_safety_unwind80.out,UNSATISFIABLE,349.44
f296fe701a562022c0de0cf565fbca7d-x9-08014.sat.sanitized.out,UNSATISFIABLE,22.85
e2deb375e56da2360ecd08fc1179fb7d-circuit_48in24out_with_100gates_7in7out_dist128_seed1.sanitized.out,SATISFIABLE,137.76
195852083a05edee1902233698eec14a-x9-11077.sat.sanitized.out,SATISFIABLE,107.71
dd57f6ebf07a7f932a82bed1877788e6-lec_mult_KvW_10x10.sanitized.out,UNSATISFIABLE,336.71
7fb202a51c0223f3119887a57086ca4d-x9-09051.sat.sanitized.out,UNSATISFIABLE,55.83
425c81fc3af7f5124b6282583d80df11-mdp-32-12-unsat.out,UNKNOWN,3584.3
7b48f9354d25521bd542d859c0ecdde9-hwmcc17miters-xits-iso-oski15a08b00s.sanitized.out,UNSATISFIABLE,8.37
09c1b79b1cfe3522364fe60aef780703-x9-12092.sat.sanitized.out,SATISFIABLE,82.18
1545660e72158c7e90da5ad4c877a124-hwmcc20miters-iso-rast-p06.sanitized.out,UNSATISFIABLE,0.36
67c533489a498495525efee429340958-cliquecolouring_n15_k9_c8.sanitized.out,UNKNOWN,3583.73
5432e4dd44480fadbd66647db1750c80-pcmax-scheduling-m24-24102-255206-SAT.sanitized.out,UNKNOWN,3579.37
8e720686372c5037f30b4fc7b1c71d48-constraints_17_0.4_1.sanitized.out,SATISFIABLE,13.2
22b4cf412c811872d6ba5078106aeb6c-j3037_10_rggt_b.out,SATISFIABLE,132.02
278aa933fdef642f33fb02a2b18717c1-lec_mult_DvK_11x10.sanitized.out,UNSATISFIABLE,839.17
ac347c21ca0759079c0be9a758e4e924-cliquecolouring_n41_k5_c4.sanitized.out,UNKNOWN,3582.27
71ec94c233016219e12d671594dc88e5-circuit_32in32out_with_70gates_7in7out_dist128_seed1.sanitized.out,SATISFIABLE,313.18
