File,Satisfiable_i15,Time (s)_i15,Satisfiable_i16,Time (s)_i16,Satisfiable_output_standard,Time (s)_output_standard,Satisfiable_i14,Time (s)_i14,Satisfiable_i17,Time (s)_i17,Satisfiable_i13,Time (s)_i13,Selection
195852083a05edee1902233698eec14a-x9-11077.sat.sanitized.out,SATISFIABLE,107.71,SATISFIABLE,4.88,SATISFIABLE,80.9,SATISFIABLE,78.33,SATISFIABLE,11.52,SATISFIABLE,96.88,Selected
19e2c3a0865c8c1b4543d11213bebe5f-x9-09024.sat.sanitized.out,UNSATISFIABLE,36.59,UNSATISFIABLE,21.72,UNSATISFIABLE,37.75,UNSATISFIABLE,36.52,UNSATISFIABLE,25.57,UNSATISFIABLE,32.9,Selected
1a1c9d1dc1ae7fcff92e3c3499864b75-af-synthesis_stb_50_200_4_unsat.out,UNSATISFIABLE,584.6,UNSATISFIABLE,485.89,UNSATISFIABLE,324.65,UNSATISFIABLE,554.24,UNSATISFIABLE,370.9,UNSATISFIABLE,556.03,Selected
1a20d903db74ab566efc68a35e6b0ec5-hwmcc20miters-iso-rast-p11.sanitized.out,UNSATISFIABLE,0.36,UNSATISFIABLE,0.36,UNSATISFIABLE,0.24,UNSATISFIABLE,0.35,UNSATISFIABLE,0.33,UNSATISFIABLE,0.33,Not Selected
1afa2d7a3d817c3149da432eece66da8-worker_550_550_550_0.3.out,SATISFIABLE,28.75,SATISFIABLE,27.2,SATISFIABLE,25.09,SATISFIABLE,24.31,SATISFIABLE,25.9,SATISFIABLE,23.63,Selected
1b0f4ff7984b8d4cf2873200fb1680fb-af-synthesis_stb_50_140_1_unsat.out,UNSATISFIABLE,1973.08,UNSATISFIABLE,1789.64,UNSATISFIABLE,2075.27,UNSATISFIABLE,2310.47,UNSATISFIABLE,1612.45,UNSATISFIABLE,1828.26,Selected
1b3c7ac17705be94daaddb5f5ae4816b-rook-56-0-0.out,UNSATISFIABLE,2856.36,UNKNOWN,3581.72,UNSATISFIABLE,3278.29,UNSATISFIABLE,3136.15,UNSATISFIABLE,2798.46,UNSATISFIABLE,3070.51,Selected
1e0da402100982e53001a64281149dd9-linked_list_swap_contents_safety_unwind63.out,UNSATISFIABLE,78.5,UNSATISFIABLE,137.23,UNSATISFIABLE,100.09,UNSATISFIABLE,100.32,UNSATISFIABLE,226.12,UNSATISFIABLE,97.94,Selected
1e3c3e8d349759b8b482a6f2721762c4-apn-sbox5-cut3-symmbreak.out,UNKNOWN,3579.07,UNKNOWN,3582.76,UNKNOWN,3560.28,UNKNOWN,3581.43,UNKNOWN,3583.53,UNKNOWN,3581.57,Not Selected
1e74212168124b696531fed471b480b1-mdp-32-10-unsat.out,UNKNOWN,3584.96,UNKNOWN,3586.07,UNKNOWN,3582.69,UNKNOWN,3584.01,UNKNOWN,3585.09,UNKNOWN,3578.88,Not Selected
1ea68d0008f01c50a1e4fec77dd0775e-REGRandom-K4-L1-Seed30.sanitized.out,UNSATISFIABLE,9.44,UNSATISFIABLE,8.66,UNSATISFIABLE,9.9,UNSATISFIABLE,9.29,UNSATISFIABLE,8.81,UNSATISFIABLE,7.86,Not Selected
1f44da3598ccf8bcbe9a90fb1b2f1ebd-REGRandom-K3-L3-Seed25.sanitized.out,UNSATISFIABLE,2.23,UNSATISFIABLE,2.12,UNSATISFIABLE,2.23,UNSATISFIABLE,2.31,UNSATISFIABLE,2.01,UNSATISFIABLE,1.98,Not Selected
207b28c3cefc55b143259222cbfd4962-pcmax-scheduling-m37-28831-324346-SAT.sanitized.out,UNKNOWN,3582.39,UNKNOWN,3583.06,UNKNOWN,3581.29,UNKNOWN,3582.27,UNKNOWN,3583.87,UNKNOWN,3581.44,Not Selected
210fe1c0ffefde5bcd03d59b1efa6984-32_325.sanitized.out,SATISFIABLE,260.58,SATISFIABLE,256.09,SATISFIABLE,213.26,SATISFIABLE,260.07,SATISFIABLE,246.78,SATISFIABLE,242.42,Selected
2115182958f6cfb5a172a24f989b86dd-rook-42-0-1.out,UNSATISFIABLE,1222.64,UNKNOWN,3580.73,UNSATISFIABLE,1700.0,UNSATISFIABLE,1677.29,UNSATISFIABLE,1668.58,UNSATISFIABLE,1662.48,Selected
22b4cf412c811872d6ba5078106aeb6c-j3037_10_rggt_b.out,SATISFIABLE,132.02,SATISFIABLE,7.39,SATISFIABLE,129.32,SATISFIABLE,97.6,SATISFIABLE,88.08,SATISFIABLE,140.61,Selected
23daec2c71ce3c1e346e6042f3dc42eb-mdp-32-14-unsat.out,UNKNOWN,3584.76,UNKNOWN,3585.33,UNKNOWN,3580.95,UNKNOWN,3578.73,UNKNOWN,3558.71,UNKNOWN,3584.2,Not Selected
24bdfb34654b1aa703fae31ea91e7c7f-tseitin_d3_n158.sanitized.out,UNKNOWN,3585.16,UNKNOWN,3587.51,UNKNOWN,3583.92,UNKNOWN,3585.37,UNKNOWN,3587.01,UNKNOWN,3583.46,Not Selected
25447f441df2f134223d3e43319c99ad-lec_mult_CvW_12x11.sanitized.out,UNSATISFIABLE,2222.05,UNSATISFIABLE,2727.52,UNKNOWN,3560.31,UNKNOWN,3583.79,UNSATISFIABLE,1974.04,UNSATISFIABLE,2025.8,Selected
25cc054738293c0d9377d7b72b78a341-string_compare_safety_cbmc_unwinding_900.out,UNSATISFIABLE,1807.34,UNSATISFIABLE,2100.27,UNSATISFIABLE,1749.69,UNSATISFIABLE,1191.77,UNSATISFIABLE,1460.69,UNSATISFIABLE,1305.93,Selected
26254890fa7107f85242ec9190da2a7a-002.out,SATISFIABLE,1925.46,SATISFIABLE,507.85,SATISFIABLE,240.72,UNKNOWN,3582.55,UNKNOWN,3585.14,UNKNOWN,3582.92,Selected
26b648475cfd06695a17ac95f4469744-128_75.sanitized.out,SATISFIABLE,262.61,SATISFIABLE,258.6,SATISFIABLE,259.25,SATISFIABLE,264.25,SATISFIABLE,245.74,SATISFIABLE,240.91,Selected
278aa933fdef642f33fb02a2b18717c1-lec_mult_DvK_11x10.sanitized.out,UNSATISFIABLE,839.17,UNSATISFIABLE,512.42,UNSATISFIABLE,802.4,UNSATISFIABLE,803.65,UNSATISFIABLE,655.39,UNSATISFIABLE,776.66,Selected
282a02a1743eb47c6b340e52ecce40a2-lru_6.sanitized.out,SATISFIABLE,47.49,SATISFIABLE,46.35,SATISFIABLE,47.03,SATISFIABLE,47.71,SATISFIABLE,40.03,SATISFIABLE,43.81,Selected
29ab150158d641568f888e8401d2ac13-bmc_QICE_snp_vld_30.out,UNSATISFIABLE,709.91,UNSATISFIABLE,601.75,UNSATISFIABLE,594.89,UNSATISFIABLE,638.32,UNSATISFIABLE,572.34,UNSATISFIABLE,554.9,Selected
29d86d9a3b85c349e10ad68d7a713da2-1-ZC-512-K-63.sanitized.out,UNKNOWN,3583.83,UNKNOWN,3583.3,UNKNOWN,3577.52,UNKNOWN,3584.11,UNKNOWN,3583.74,UNKNOWN,3583.75,Not Selected
29e61b1317804fb897e84237613d42bb-worker_30_60_25_0.9.out,UNKNOWN,3584.4,UNKNOWN,3584.83,UNKNOWN,3581.62,UNKNOWN,3583.64,UNKNOWN,3585.32,UNKNOWN,3584.23,Not Selected
2a15a30186afdad41a49c5c5366d01be-Timetable_C_392_E_62_Cl_26_S_28.out,SATISFIABLE,49.1,SATISFIABLE,25.93,SATISFIABLE,55.08,SATISFIABLE,72.22,SATISFIABLE,59.1,SATISFIABLE,47.03,Selected
2a53e9c6a25a50d753a94ead66065826-mp1-ps_5000_21250_3_0_0.8_0_1.50_6.out,UNSATISFIABLE,50.4,UNSATISFIABLE,30.38,UNSATISFIABLE,58.19,UNSATISFIABLE,63.94,UNSATISFIABLE,45.48,UNSATISFIABLE,47.95,Selected
2b032f8a8976a302ad125eb50a3e8445-1-ZC-512-K-60.sanitized.out,SATISFIABLE,934.97,SATISFIABLE,484.61,SATISFIABLE,886.81,SATISFIABLE,341.34,SATISFIABLE,756.05,SATISFIABLE,650.22,Selected
2b043efb4bde6d83f7c95a8e8e2d7bf8-simon-r21-0.sanitized.out,SATISFIABLE,0.01,SATISFIABLE,0.01,SATISFIABLE,0.01,SATISFIABLE,0.01,SATISFIABLE,0.0,SATISFIABLE,0.0,Not Selected
2b60f9be1439f63b7f174c6b8ca7fedf-sgen1-unsat-121-100.out,UNKNOWN,3584.46,UNKNOWN,3583.76,UNKNOWN,3581.47,UNKNOWN,3582.03,UNKNOWN,3585.69,UNKNOWN,3584.05,Not Selected
2b8a711debc3a6edd01e7b4e305342d9-REGRandom-K4-L2-Seed35.sanitized.out,UNSATISFIABLE,3458.62,UNSATISFIABLE,2189.98,UNSATISFIABLE,1924.94,UNSATISFIABLE,1835.4,UNSATISFIABLE,1505.48,UNSATISFIABLE,1584.56,Selected
2c3c28f6d939d157e909c57a265fc908-mchess_17.out,UNKNOWN,3582.47,UNKNOWN,3586.81,UNKNOWN,3581.83,UNKNOWN,3583.98,UNKNOWN,3584.6,UNKNOWN,3582.59,Not Selected
2d6d26e1c5b4f2763c03697a6d00d3cf-fixedbandwidth-eq-31_shuffled.out,UNSATISFIABLE,2060.57,UNKNOWN,3585.42,UNSATISFIABLE,1938.48,UNSATISFIABLE,1985.6,UNSATISFIABLE,2668.92,UNSATISFIABLE,1869.19,Selected
2dd4b14a8a820e7baa073554ae2c6cb0-rphp_p8_r160.sanitized.out,UNKNOWN,3584.48,UNKNOWN,3586.48,UNKNOWN,3580.28,UNKNOWN,3585.85,UNKNOWN,3585.77,UNKNOWN,3585.05,Not Selected
2eb039a5aa6bfb6e41d3afd41071ca55-ER_500_30_3.apx_1_DC-ST.out,UNSATISFIABLE,424.2,UNSATISFIABLE,299.89,UNSATISFIABLE,367.72,UNSATISFIABLE,337.92,UNSATISFIABLE,274.86,UNSATISFIABLE,298.44,Selected
2fcd8533eba981967292f1b6e41f7433-simon-r20-0.sanitized.out,SATISFIABLE,0.0,SATISFIABLE,0.0,SATISFIABLE,0.01,SATISFIABLE,0.0,SATISFIABLE,0.0,SATISFIABLE,0.0,Not Selected
303480ca7e8322d771c94caf4ebd4e95-circuit_48in64out_with_700gates_4in4out_dist128_seed1.sanitized.out,SATISFIABLE,8.88,SATISFIABLE,13.38,SATISFIABLE,6.73,SATISFIABLE,10.89,SATISFIABLE,5.25,SATISFIABLE,7.14,Selected
305ad7d773d6c72be9b1efbf7bf482e0-asconhashv12_opt64_H9_M2-MIC4kfhiA_m0_6_U2.c.out,UNSATISFIABLE,675.57,UNSATISFIABLE,663.16,UNSATISFIABLE,718.58,UNSATISFIABLE,699.12,UNSATISFIABLE,634.82,UNSATISFIABLE,584.42,Selected
